gender;Near_Location;Partner;Promo_friends;Phone;Contract_period;Group_visits;Age;Avg_additional_charges_total;Month_to_end_contract;Lifetime;Avg_class_frequency_total;Avg_class_frequency_current_month;Churn
1;1;1;1;0;6;1;29;14.227.470.422.861.100;5.0;3;0.02039794762085778;0.0;0
0;1;0;0;1;12;1;31;11.320.293.765.105.800;12.0;7;19.229.360.550.418.100;19.102.435.215.196.400;0
0;1;1;0;1;1;0;28;12.944.847.933.200.600;1.0;2;18.590.983.473.832.300;17.365.018.916.344.100;0
0;1;1;1;1;12;1;33;6.266.986.319.123.820;12.0;2;32.056.327.682.385;33.572.145.130.526.600;0
1;1;1;1;1;1;0;26;19.836.226.543.903.600;1.0;3;11.138.844.004.257.700;1.120.078.107.422.200;0
1;1;0;0;1;1;1;34;4.507.439.599.104.910;1.0;3;26.234.768.072.839.800;26.370.069.647.681.800;0
1;1;1;1;0;6;1;32;942.663.885.148.517;6.0;2;1.138.941.228.411.320;12.772.416.305.372.200;0
0;1;0;0;1;1;0;30;21.778.664.105.008.900;1.0;0;12.135.019.626.583.000;10.493.871.451.868.600;1
1;1;1;1;1;1;1;23;45.409.909.202.997.600;1.0;1;1.106.238.932.529.010;10.593.329.767.364.400;0
0;1;0;0;1;1;0;31;6.531.083.634.086.430;1.0;11;181.085.190.458.252;19.513.676.552.017.300;0
0;1;0;0;0;6;1;32;22.970.894.524.511.100;6.0;3;16.411.796.616.862.300;136.771.396.663.351;0
1;1;1;0;1;1;0;27;2.667.838.237.446.520;1.0;2;23.485.353.357.599.800;15.843.158.272.716.600;1
0;1;1;1;1;1;1;33;14.841.805.281.528.600;1.0;4;33.686.057.499.800.000;33.918.531.715.752.900;0
1;1;0;0;1;1;1;27;15.274.866.849.929.700;1.0;1;0.0;0.0;1
0;1;0;0;1;6;0;35;2.098.881.331.905.130;3.0;8;19.780.838.180.263.800;2.117.349.155.762.030;0
0;1;1;1;1;12;0;29;10.137.260.415.417.300;10.0;4;2.850.402.196.472.180;2.836.455.259.119.330;0
0;1;1;1;1;1;1;31;11.975.295.259.522.300;1.0;0;33.422.611.433.294.500;32.062.232.230.844.000;0
0;1;0;1;1;6;1;29;9.278.741.424.476.020;5.0;1;0.6644824749922384;0.6099452944797018;0
0;1;0;0;1;1;1;30;9.780.431.525.583.170;1.0;8;150.707.557.553.785;15.787.380.483.152.900;0
